id,gear_type_id,gearbox_size_id,mount_type_id,mass
61,40,5,20,26.000000000000000000000000000000
62,40,6,20,36.000000000000000000000000000000
63,40,7,20,60.000000000000000000000000000000
64,40,8,20,107.000000000000000000000000000000
65,40,9,20,189.000000000000000000000000000000
66,40,10,20,270.000000000000000000000000000000
67,40,12,20,454.000000000000000000000000000000
68,40,15,20,780.000000000000000000000000000000
69,40,3,30,13.000000000000000000000000000000
70,40,4,30,16.000000000000000000000000000000
71,40,5,30,21.000000000000000000000000000000
72,40,6,30,30.000000000000000000000000000000
73,40,7,30,50.000000000000000000000000000000
74,40,8,30,92.000000000000000000000000000000
75,40,9,30,160.000000000000000000000000000000
76,40,10,30,240.000000000000000000000000000000
77,40,12,30,400.000000000000000000000000000000
78,40,15,30,680.000000000000000000000000000000
79,40,3,40,13.000000000000000000000000000000
80,40,4,40,16.000000000000000000000000000000
81,40,5,40,21.000000000000000000000000000000
82,40,6,40,30.000000000000000000000000000000
83,40,7,40,50.000000000000000000000000000000
84,40,8,40,92.000000000000000000000000000000
85,40,9,40,160.000000000000000000000000000000
86,40,10,40,240.000000000000000000000000000000
87,40,12,40,400.000000000000000000000000000000
88,40,15,40,680.000000000000000000000000000000
89,20,1,10,7.000000000000000000000000000000
90,20,3,10,8.000000000000000000000000000000
91,20,4,10,14.000000000000000000000000000000
92,20,5,10,18.000000000000000000000000000000
93,20,6,10,25.000000000000000000000000000000
94,20,7,10,33.000000000000000000000000000000
95,20,8,10,60.000000000000000000000000000000
96,20,9,10,110.000000000000000000000000000000
97,20,10,10,150.000000000000000000000000000000
98,20,12,10,175.000000000000000000000000000000
99,20,13,10,255.000000000000000000000000000000
100,20,14,10,365.000000000000000000000000000000
101,20,16,10,615.000000000000000000000000000000
102,20,1,20,8.000000000000000000000000000000
103,20,3,20,9.000000000000000000000000000000
104,20,4,20,15.000000000000000000000000000000
105,20,5,20,20.000000000000000000000000000000
106,20,6,20,27.000000000000000000000000000000
107,20,7,20,36.000000000000000000000000000000
108,20,8,20,66.000000000000000000000000000000
109,20,9,20,120.000000000000000000000000000000
110,20,10,20,165.000000000000000000000000000000
111,20,12,20,205.000000000000000000000000000000
112,20,13,20,285.000000000000000000000000000000
113,20,14,20,395.000000000000000000000000000000
114,20,16,20,645.000000000000000000000000000000
115,20,1,30,7.000000000000000000000000000000
116,20,3,30,8.000000000000000000000000000000
117,20,4,30,14.000000000000000000000000000000
118,20,5,30,18.000000000000000000000000000000
119,20,6,30,25.000000000000000000000000000000
120,20,7,30,33.000000000000000000000000000000
121,20,8,30,60.000000000000000000000000000000
122,20,9,30,110.000000000000000000000000000000
123,20,10,30,150.000000000000000000000000000000
124,20,12,30,175.000000000000000000000000000000
125,20,13,30,255.000000000000000000000000000000
126,20,14,30,365.000000000000000000000000000000
127,20,16,30,615.000000000000000000000000000000
128,30,3,10,7.000000000000000000000000000000
129,30,4,10,10.000000000000000000000000000000
130,30,5,10,15.000000000000000000000000000000
131,30,6,10,25.000000000000000000000000000000
132,30,7,10,45.000000000000000000000000000000
133,30,8,10,85.000000000000000000000000000000
134,30,9,10,150.000000000000000000000000000000
135,30,10,10,235.000000000000000000000000000000
136,30,12,10,390.000000000000000000000000000000
137,30,3,20,8.500000000000000000000000000000
138,30,4,20,13.000000000000000000000000000000
139,30,5,20,18.000000000000000000000000000000
140,30,6,20,30.000000000000000000000000000000
141,30,7,20,52.500000000000000000000000000000
142,30,8,20,98.000000000000000000000000000000
143,30,9,20,175.000000000000000000000000000000
144,30,10,20,250.000000000000000000000000000000
145,30,12,20,425.000000000000000000000000000000
146,30,3,30,7.000000000000000000000000000000
147,30,4,30,10.000000000000000000000000000000
148,30,5,30,15.000000000000000000000000000000
149,30,6,30,25.000000000000000000000000000000
150,30,7,30,45.000000000000000000000000000000
151,30,8,30,85.000000000000000000000000000000
152,30,9,30,150.000000000000000000000000000000
153,30,10,30,235.000000000000000000000000000000
154,30,12,30,390.000000000000000000000000000000
155,30,3,40,8.500000000000000000000000000000
156,30,4,40,11.500000000000000000000000000000
157,30,5,40,17.000000000000000000000000000000
158,30,6,40,28.000000000000000000000000000000
159,30,7,40,50.000000000000000000000000000000
