id,gear_size_id,ratio_code_id,ex_ratio,t2n,p1n,gear_efficiency_id,item_name
1915,44,112,118.700000000000000000000000000000,6300.000000000000000000000000000000,8.060000000000000000000000000000,30,C312D11
1916,44,125,135.500000000000000000000000000000,6300.000000000000000000000000000000,7.060000000000000000000000000000,30,C312D13
1917,44,140,144.400000000000000000000000000000,6300.000000000000000000000000000000,6.620000000000000000000000000000,30,C312D14
1918,44,160,166.000000000000000000000000000000,6300.000000000000000000000000000000,5.760000000000000000000000000000,30,C312D16
1919,44,180,186.700000000000000000000000000000,6300.000000000000000000000000000000,5.120000000000000000000000000000,30,C312D18
1920,44,200,206.300000000000000000000000000000,6300.000000000000000000000000000000,4.640000000000000000000000000000,30,C312D20
1921,44,224,231.900000000000000000000000000000,6300.000000000000000000000000000000,4.120000000000000000000000000000,30,C312D22
1922,44,250,252.400000000000000000000000000000,6300.000000000000000000000000000000,3.790000000000000000000000000000,30,C312D25
1923,44,280,274.200000000000000000000000000000,6300.000000000000000000000000000000,3.490000000000000000000000000000,30,C312D28
1924,74,4,4.070000000000000000000000000000,5000.000000000000000000000000000000,187.000000000000000000000000000000,20,C213B40
1925,74,405,4.740000000000000000000000000000,5000.000000000000000000000000000000,160.000000000000000000000000000000,20,C213B45
1926,74,5,5.260000000000000000000000000000,5300.000000000000000000000000000000,153.000000000000000000000000000000,20,C213B50
1927,74,506,5.870000000000000000000000000000,5300.000000000000000000000000000000,137.000000000000000000000000000000,20,C213B56
1928,74,6,6.480000000000000000000000000000,5600.000000000000000000000000000000,131.000000000000000000000000000000,20,C213B63
1929,74,7,7.030000000000000000000000000000,6000.000000000000000000000000000000,130.000000000000000000000000000000,20,C213B71
1930,74,8,8.080000000000000000000000000000,8000.000000000000000000000000000000,150.000000000000000000000000000000,20,C213B80
1931,74,9,9.150000000000000000000000000000,8000.000000000000000000000000000000,133.000000000000000000000000000000,20,C213B90
1932,74,10,10.500000000000000000000000000000,8000.000000000000000000000000000000,115.000000000000000000000000000000,20,C213C10
1933,74,11,11.700000000000000000000000000000,8000.000000000000000000000000000000,103.000000000000000000000000000000,20,C213C11
1934,74,12,13.000000000000000000000000000000,8000.000000000000000000000000000000,94.000000000000000000000000000000,20,C213C13
1935,74,14,14.100000000000000000000000000000,8000.000000000000000000000000000000,86.000000000000000000000000000000,20,C213C14
1936,74,16,16.200000000000000000000000000000,8000.000000000000000000000000000000,75.000000000000000000000000000000,20,C213C16
1937,74,18,18.300000000000000000000000000000,8000.000000000000000000000000000000,66.000000000000000000000000000000,20,C213C18
1938,74,20,20.400000000000000000000000000000,8000.000000000000000000000000000000,60.000000000000000000000000000000,20,C213C20
1939,74,22,22.600000000000000000000000000000,8000.000000000000000000000000000000,54.000000000000000000000000000000,20,C213C22
1940,46,25,25.100000000000000000000000000000,8000.000000000000000000000000000000,48.300000000000000000000000000000,30,C313C25
1941,46,28,29.400000000000000000000000000000,8000.000000000000000000000000000000,41.400000000000000000000000000000,30,C313C28
1942,46,31,32.500000000000000000000000000000,8200.000000000000000000000000000000,38.300000000000000000000000000000,30,C313C32
1943,46,35,35.100000000000000000000000000000,8200.000000000000000000000000000000,35.500000000000000000000000000000,30,C313C36
1944,46,40,39.300000000000000000000000000000,8200.000000000000000000000000000000,31.700000000000000000000000000000,30,C313C40
1945,46,45,46.400000000000000000000000000000,8200.000000000000000000000000000000,26.800000000000000000000000000000,30,C313C45
1946,46,50,50.300000000000000000000000000000,8200.000000000000000000000000000000,24.700000000000000000000000000000,30,C313C50
